"1.ch_1FMS_ctrl_1._counts"	"2.ch_1FMS_ctrl_2._counts"	"3.ch_1FMS_ctrl_3._counts"	"4.ch_1FMS_cm_1._counts"	"5.ch_1FMS_cm_2._counts"	"6.ch_1FMS_cm_3._counts"	"7.ch_1FMS_caf_1._counts"	"8.ch_1FMS_caf_2._counts"	"9.ch_1FMS_caf_3._counts"
"ENSG00000237613"	0	0	0	0	0	0	0	0	0
"ENSG00000186092"	0	0	0	0	0	0	0	0	0
"ENSG00000238009"	0	0	2	0	0	0	0	0	0
"ENSG00000239945"	0	0	0	0	0	0	0	0	0
"ENSG00000239906"	0	0	0	0	0	0	0	0	0
"ENSG00000241860"	0	0	0	0	0	0	1	0	0
"ENSG00000241599"	0	0	0	0	0	0	0	0	0
"ENSG00000286448"	0	0	0	0	0	0	0	0	0
"ENSG00000236601"	0	0	0	0	0	0	0	0	0
"ENSG00000284733"	0	0	0	0	0	0	0	0	0
"ENSG00000235146"	0	0	0	0	0	0	0	0	0
"ENSG00000284662"	0	0	0	0	0	0	0	0	0
"ENSG00000229905"	0	0	0	0	0	0	0	0	0
"ENSG00000237491"	0	5	2	1	0	4	2	0	1
"ENSG00000177757"	0	0	0	0	0	0	0	0	0
"ENSG00000228794"	55	10	36	54	43	82	33	17	66
"ENSG00000225880"	6	3	2	4	1	5	0	7	0
"ENSG00000230368"	0	0	0	0	0	0	0	0	0
"ENSG00000272438"	0	0	0	0	0	0	0	0	0
"ENSG00000230699"	0	0	0	0	0	0	0	0	0
"ENSG00000241180"	0	0	0	0	0	0	0	0	0
"ENSG00000223764"	0	0	1	0	0	1	0	0	0
"ENSG00000187634"	17	32	11	17	6	21	5	13	17
"ENSG00000188976"	252	176	212	195	174	204	267	234	332
"ENSG00000187961"	25	14	8	32	12	15	20	23	24
"ENSG00000187583"	87	33	61	143	80	123	99	78	123
"ENSG00000187642"	0	0	0	0	0	0	0	0	0
"ENSG00000272512"	1	12	8	11	9	18	13	0	17
"ENSG00000188290"	45	55	49	209	92	149	170	141	158
"ENSG00000187608"	1887	288	2651	6823	2995	9511	3562	3003	5689
"ENSG00000224969"	0	0	0	0	0	0	0	0	0
"ENSG00000188157"	9	8	29	35	16	23	21	14	31
"ENSG00000242590"	0	0	0	0	0	0	0	0	0
"ENSG00000273443"	0	0	0	0	0	0	0	0	0
"ENSG00000237330"	54	28	46	61	34	66	42	31	61
"ENSG00000131591"	17	34	13	63	18	45	32	32	49
"ENSG00000285812"	0	0	0	0	0	0	0	0	0
"ENSG00000223823"	3	0	0	0	0	0	0	2	0
"ENSG00000272141"	22	13	18	30	37	47	14	38	24
"ENSG00000205231"	0	0	0	0	0	0	0	0	0
"ENSG00000162571"	0	0	0	0	0	0	0	0	0
"ENSG00000186891"	0	0	0	0	0	0	3	1	3
"ENSG00000186827"	0	0	0	0	0	4	0	0	0
"ENSG00000078808"	812	837	1053	1137	716	1312	869	965	1374
"ENSG00000176022"	127	143	173	227	166	185	173	195	216
"ENSG00000184163"	3	2	11	13	4	0	3	1	0
"ENSG00000260179"	0	0	0	5	0	0	0	1	1
"ENSG00000160087"	340	347	409	411	256	552	369	366	459
"ENSG00000230415"	0	0	0	0	0	0	0	0	0
"ENSG00000162572"	0	12	1	26	2	17	8	6	6
"ENSG00000131584"	21	34	34	36	30	45	21	51	29
"ENSG00000169972"	30	25	54	47	22	79	43	42	58
"ENSG00000127054"	113	125	115	195	103	153	96	131	215
"ENSG00000240731"	3	0	0	3	1	4	1	3	0
"ENSG00000224051"	94	119	158	185	107	241	157	163	157
"ENSG00000169962"	0	1	2	1	0	0	0	3	0
"ENSG00000107404"	318	312	344	447	354	535	411	334	507
"ENSG00000162576"	0	0	0	0	0	0	9	3	11
"ENSG00000175756"	522	546	499	757	500	792	610	794	1104
"ENSG00000221978"	329	295	355	574	265	509	327	268	409
"ENSG00000224870"	107	98	139	157	73	201	131	123	201
"ENSG00000242485"	632	688	708	684	516	974	642	693	1031
"ENSG00000272455"	7	11	6	20	2	6	0	0	12
"ENSG00000235098"	2	0	3	0	0	3	0	7	5
"ENSG00000225905"	0	0	0	0	0	0	0	0	0
"ENSG00000205116"	0	0	0	0	0	0	0	0	0
"ENSG00000225285"	0	0	0	0	0	1	0	0	0
"ENSG00000179403"	104	88	118	225	228	338	210	213	265
"ENSG00000215915"	2	8	5	1	4	4	9	5	7
"ENSG00000160072"	42	63	73	81	41	67	58	57	93
"ENSG00000197785"	89	91	103	117	90	143	130	143	148
"ENSG00000205090"	3	3	5	9	0	2	3	4	7
"ENSG00000160075"	322	249	308	340	232	443	282	305	342
"ENSG00000215014"	4	8	18	15	8	17	2	6	25
"ENSG00000228594"	81	117	116	72	42	95	140	102	134
"ENSG00000286989"	1	0	13	2	0	5	2	7	7
"ENSG00000272106"	24	16	35	20	11	18	11	14	40
"ENSG00000197530"	42	24	64	88	41	69	34	31	55
"ENSG00000189409"	0	0	0	0	0	0	0	0	0
"ENSG00000248333"	215	206	255	228	134	336	216	196	320
"ENSG00000272004"	0	0	0	6	1	0	0	2	0
"ENSG00000189339"	68	61	122	77	67	115	94	84	130
"ENSG00000008128"	245	255	179	345	133	291	226	196	247
"ENSG00000215790"	48	41	74	48	22	74	47	55	63
"ENSG00000008130"	126	199	170	337	149	276	169	170	239
"ENSG00000078369"	1050	1161	1402	1313	807	1544	1116	1085	1422
"ENSG00000231050"	2	0	3	0	4	0	0	1	2
"ENSG00000169885"	0	0	0	0	0	0	0	0	0
"ENSG00000178821"	43	12	18	17	18	32	20	18	38
"ENSG00000142609"	0	0	4	6	2	0	3	0	5
"ENSG00000233542"	0	0	0	0	0	0	0	0	0
"ENSG00000187730"	0	0	0	1	0	2	1	0	0
"ENSG00000226969"	0	0	0	0	0	0	0	0	0
"ENSG00000067606"	135	136	167	167	146	165	95	126	157
"ENSG00000271806"	0	0	0	0	0	1	0	1	0
"ENSG00000182873"	4	0	0	0	0	0	0	0	6
"ENSG00000162585"	22	19	30	66	57	41	22	54	55
"ENSG00000234396"	0	0	0	0	0	0	0	0	0
"ENSG00000157933"	210	133	169	251	86	174	202	153	216
"ENSG00000287356"	0	0	0	0	0	0	0	0	0
"ENSG00000116151"	8	12	16	5	1	21	1	6	4
"ENSG00000272161"	0	0	0	0	0	0	0	0	0
"ENSG00000272420"	1	6	7	0	0	3	2	0	2
"ENSG00000157916"	592	557	674	764	530	997	625	587	827
"ENSG00000157911"	122	134	149	147	106	150	132	99	181
"ENSG00000149527"	5	1	0	0	3	1	0	0	0
"ENSG00000224387"	0	0	0	0	0	0	0	0	0
"ENSG00000229393"	0	0	0	0	0	0	0	0	0
"ENSG00000157881"	3	8	3	3	2	6	3	2	11
"ENSG00000197921"	34	31	39	12	8	16	16	7	7
"ENSG00000272449"	44	25	9	28	9	23	13	14	32
"ENSG00000238164"	0	0	0	0	0	1	0	0	0
"ENSG00000157873"	0	2	7	13	9	0	7	1	5
"ENSG00000228037"	0	0	0	1	0	0	0	0	0
"ENSG00000157870"	178	210	219	202	180	226	195	197	305
"ENSG00000142606"	5	0	2	2	2	8	0	5	4
"ENSG00000237058"	0	0	0	0	0	0	0	0	0
"ENSG00000215912"	0	0	4	2	0	5	0	0	7
"ENSG00000285945"	0	0	0	0	0	0	0	0	0
"ENSG00000283259"	0	0	0	0	0	0	0	0	0
"ENSG00000233234"	0	0	0	0	0	0	0	0	0
"ENSG00000287396"	1	0	0	0	0	0	0	0	3
"ENSG00000231630"	0	0	0	0	0	0	0	0	0
"ENSG00000284745"	0	0	0	0	0	0	0	0	0
"ENSG00000169717"	0	0	0	0	0	0	0	0	0
"ENSG00000177133"	0	0	0	0	0	0	0	0	0
"ENSG00000142611"	0	0	6	0	1	7	0	0	0
"ENSG00000226286"	0	0	0	0	0	0	0	0	0
"ENSG00000272235"	0	0	0	0	0	0	0	0	0
"ENSG00000287828"	0	0	0	0	0	0	0	0	0
"ENSG00000286518"	0	0	0	0	0	0	0	0	0
"ENSG00000130762"	101	98	133	141	70	214	127	89	148
"ENSG00000272088"	6	3	3	0	2	0	2	5	0
"ENSG00000162591"	3	2	0	3	0	2	0	2	4
"ENSG00000238260"	0	0	0	0	0	0	0	0	0
"ENSG00000158109"	489	373	549	413	317	509	388	460	521
"ENSG00000116213"	76	68	54	88	48	118	78	56	86
"ENSG00000078900"	0	6	1	1	0	0	0	0	1
"ENSG00000227589"	0	0	0	0	0	0	0	0	0
"ENSG00000235131"	0	0	0	0	0	0	0	0	0
"ENSG00000162592"	0	0	0	0	0	0	0	0	0
"ENSG00000235169"	0	3	0	0	2	6	3	0	3
"ENSG00000130764"	302	224	281	268	222	450	324	360	360
"ENSG00000272153"	0	0	0	0	0	0	0	0	0
"ENSG00000116198"	240	187	123	377	176	341	262	202	314
"ENSG00000169598"	63	81	59	43	20	62	27	31	53
"ENSG00000198912"	140	106	102	147	41	135	85	56	175
