"1a.dR4_G7"	"1b.dR4_G8"	"1c.dR4_G9"	"2a.AKP_shGpx2_G10"	"2b.AKP_shGpx2_G11"	"2c.AKP_shGpx2_G12"	"3a.dR4_FT_2w_G31"	"3b.dR4_FT_2w_G32"	"3c.dR4_FT_2w_G33"	"4a.AKP_shGpx2_FT_2w_G34"	"4b.AKP_shGpx2_FT_2w_G35"	"4c.AKP_shGpx2_FT_2w_G36"
"ENSMUSG00000064842"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000051951"	3	2	1	1	2	0	2	4	1	0	0	0
"ENSMUSG00000102851"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000103377"	0	2	1	0	0	0	0	0	0	0	0	0
"ENSMUSG00000104017"	0	0	0	2	1	0	0	1	0	0	0	0
"ENSMUSG00000103025"	0	0	0	0	0	0	0	0	0	0	1	0
"ENSMUSG00000089699"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000103201"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000103147"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000103161"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000102331"	0	0	1	0	0	0	0	1	0	0	0	0
"ENSMUSG00000102348"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000102592"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000088333"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000102343"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025900"	0	2	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000102948"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000104123"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025902"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000104238"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000102269"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000118917"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000103003"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000104328"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000102735"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000098104"	82	70	66	71	70	36	33	26	26	53	39	33
"ENSMUSG00000102175"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00002075947"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000103265"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000103922"	0	1	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000033845"	151	196	176	203	205	187	446	391	393	397	411	291
"ENSMUSG00000102275"	0	2	1	0	0	0	0	1	0	2	0	1
"ENSMUSG00000120403"	0	0	0	0	0	0	2	0	0	0	0	0
"ENSMUSG00000025903"	209	184	190	184	193	125	207	182	197	209	229	158
"ENSMUSG00000104217"	0	0	0	0	0	0	0	0	0	0	0	0
